season,t:game number,to:game number,t:abbreviation,to:abbreviation,t:rest,to:rest,t:goals,to:goals,shoot out,t:line,to:line,t:wins,to:wins,t:losses,to:losses,t:matchup wins,t:matchup losses,H,t.period.scores0,t.period.scores1,t.period.scores2,t.period.scores3,t.period.scores4,to.period.scores0,to.period.scores1,to.period.scores2,to.period.scores3,to.period.scores4
2016.0,60.0,61.0,ARI,DAL,0,5,2,5,-,215,-235,21.0,23.0,38.0,37.0,0.0,1.0,False,1,1,0,-,-,1,1,3,-,-
2016.0,61.0,63.0,LA,ANA,1,2,4,1,-,-150,140,29.0,32.0,31.0,30.0,1.0,2.0,True,0,0,4,-,-,1,0,0,-,-
2016.0,63.0,61.0,ANA,LA,2,1,1,4,-,140,-150,32.0,29.0,30.0,31.0,2.0,1.0,False,1,0,0,-,-,0,0,4,-,-
2016.0,61.0,61.0,NAS,WAS,1,0,5,2,-,-114,104,29.0,41.0,31.0,19.0,0.0,0.0,True,0,3,2,-,-,1,0,1,-,-
2016.0,61.0,61.0,WAS,NAS,0,1,2,5,-,104,-114,41.0,29.0,19.0,31.0,0.0,0.0,False,1,0,1,-,-,0,3,2,-,-
2016.0,61.0,61.0,NJ,NYR,3,1,3,4,-,118,-128,25.0,39.0,35.0,21.0,0.0,2.0,True,0,1,2,0,-,2,0,1,1,-
2016.0,61.0,61.0,NYR,NJ,1,3,4,3,-,-128,118,39.0,25.0,21.0,35.0,2.0,0.0,False,2,0,1,1,-,0,1,2,0,-
2016.0,59.0,61.0,CLB,NYI,5,1,7,0,-,-150,130,37.0,29.0,21.0,31.0,1.0,1.0,True,3,2,2,-,-,0,0,0,-,-
2016.0,61.0,59.0,NYI,CLB,1,5,0,7,-,130,-150,29.0,37.0,31.0,21.0,1.0,1.0,False,0,0,0,-,-,3,2,2,-,-
2016.0,61.0,62.0,TOR,MON,1,1,2,3,-,-115,105,28.0,32.0,32.0,29.0,0.0,3.0,True,1,0,1,0,-,0,2,0,1,-
2016.0,62.0,61.0,MON,TOR,1,1,3,2,-,105,-115,32.0,28.0,29.0,32.0,3.0,0.0,False,0,2,0,1,-,1,0,1,0,-
2016.0,60.0,61.0,PIT,PHI,3,2,4,2,-,-175,165,37.0,28.0,22.0,32.0,1.0,0.0,True,1,1,2,-,-,0,1,1,-,-
2016.0,61.0,60.0,PHI,PIT,2,3,2,4,-,165,-175,28.0,37.0,32.0,22.0,0.0,1.0,False,0,1,1,-,-,1,1,2,-,-
2016.0,61.0,61.0,VAN,SJ,5,5,1,4,-,170,-185,26.0,35.0,34.0,25.0,0.0,1.0,True,0,1,0,-,-,0,2,2,-,-
2016.0,61.0,61.0,SJ,VAN,5,5,4,1,-,-185,170,35.0,26.0,25.0,34.0,1.0,0.0,False,0,2,2,-,-,0,1,0,-,-
2016.0,60.0,61.0,COL,BUF,1,5,5,3,-,105,-115,16.0,26.0,43.0,34.0,0.0,1.0,True,3,1,1,-,-,1,2,0,-,-
2016.0,61.0,60.0,BUF,COL,5,1,3,5,-,-115,105,26.0,16.0,34.0,43.0,1.0,0.0,False,1,2,0,-,-,3,1,1,-,-
2016.0,62.0,62.0,DAL,BOS,1,2,3,6,-,125,-145,24.0,31.0,37.0,30.0,0.0,0.0,True,0,2,1,-,-,2,2,2,-,-
2016.0,62.0,62.0,BOS,DAL,2,1,6,3,-,-145,125,31.0,24.0,30.0,37.0,0.0,0.0,False,2,2,2,-,-,0,2,1,-,-
2016.0,58.0,63.0,CAR,CAL,1,1,1,3,-,-135,115,25.0,32.0,32.0,30.0,1.0,0.0,True,1,0,0,-,-,0,2,1,-,-
2016.0,63.0,58.0,CAL,CAR,1,1,3,1,-,115,-135,32.0,25.0,30.0,32.0,0.0,1.0,False,0,2,1,-,-,1,0,0,-,-
2016.0,62.0,63.0,NAS,EDM,0,1,5,4,-,-135,125,30.0,33.0,31.0,29.0,2.0,0.0,True,2,2,1,-,-,1,3,0,-,-
2016.0,63.0,62.0,EDM,NAS,1,0,4,5,-,125,-135,33.0,30.0,29.0,31.0,0.0,2.0,False,1,3,0,-,-,2,2,1,-,-
2016.0,62.0,60.0,NYR,CLB,0,0,2,5,-,-127,117,40.0,38.0,21.0,21.0,2.0,2.0,True,1,0,1,-,-,2,1,2,-,-
2016.0,60.0,62.0,CLB,NYR,0,0,5,2,-,117,-127,38.0,40.0,21.0,21.0,2.0,2.0,False,2,1,2,-,-,1,0,1,-,-
2016.0,62.0,61.0,CHI,STL,2,5,4,2,-,-150,140,38.0,31.0,23.0,29.0,2.0,2.0,True,2,0,2,-,-,1,1,0,-,-
2016.0,61.0,62.0,STL,CHI,5,2,2,4,-,140,-150,31.0,38.0,29.0,23.0,2.0,2.0,False,1,1,0,-,-,2,0,2,-,-
2016.0,61.0,60.0,FLA,OTT,1,1,1,2,-,-150,140,28.0,32.0,32.0,27.0,2.0,1.0,True,1,0,0,-,-,1,1,0,-,-
2016.0,60.0,61.0,OTT,FLA,1,1,2,1,-,140,-150,32.0,28.0,27.0,32.0,1.0,2.0,False,1,1,0,-,-,1,0,0,-,-
2016.0,61.0,62.0,ARI,BUF,1,0,3,2,-,105,-115,21.0,26.0,39.0,35.0,0.0,0.0,True,0,0,3,-,-,1,1,0,-,-
2016.0,62.0,61.0,BUF,ARI,0,1,2,3,-,-115,105,26.0,21.0,35.0,39.0,0.0,0.0,False,1,1,0,-,-,0,0,3,-,-
